name,tier,tier_name,iclevel,region,state,cfips,county,female,k_married,mr_kq5_pq1,mr_ktop1_pq1,par_mean,par_median,par_rank,par_q1,par_q2,par_q3,par_q4,par_q5,par_top10pc,par_top5pc,par_top1pc,par_toppt1pc
Wells College,6,Selective private,1,1,NY,36011,Cayuga,0.95625001,0.4769223,0.024599908,3.43E-05,101919.362,74900,0.608300408,0.076454967,0.152514,0.21281952,0.26219904,0.29601243,0.15990438,0.058570966,0.007782939,0.0003288
Wenatchee Valley College,9,Two-year (public and private not-for-profit),2,4,WA,53007,Chelan,0.54451615,0.5561893,0.015587857,5.62E-05,71483.69123,61200,0.508932057,0.13642414,0.21360415,0.24454993,0.25643978,0.1489819,0.049980845,0.015959799,0.00140232,6.11E-05
Wentworth Institute Of Technology,6,Selective private,1,1,MA,25025,Suffolk,0.16304348,0.52832913,0.026162557,1.43E-05,111339.2639,93600,0.65085187,0.066957332,0.116715,0.16976097,0.29055139,0.35601532,0.16969509,0.06374763,0.008108352,0.001034327
Wesley College,6,Selective private,1,3,DE,10001,Kent,0.4685891,0.55015695,0.023901707,0.000789139,94863.84105,81500,0.611261551,0.098910347,0.1346074,0.20332989,0.26281941,0.30033305,0.13047571,0.050881077,0.003794405,0.0001856
Wesleyan University,2,Other elite schools (public and private),1,1,CT,9007,Middlesex,0.53877139,0.50664794,0.019636208,0.001917112,371959.1669,165300,0.804872018,0.041971348,0.056261145,0.079463735,0.14462636,0.67767739,0.55371976,0.40880695,0.1354268,0.019245746
West Chester University Of Pennsylvania,5,Selective public,1,1,PA,42029,Chester,0.61328936,0.60739905,0.012733021,0.000348237,122582.7565,102700,0.698635974,0.042028327,0.088780247,0.15540911,0.28116024,0.43262208,0.19756168,0.086146049,0.01046732,0.000654212
West Georgia Technical College,9,Two-year (public and private not-for-profit),2,3,GA,13143,Haralson,0.63392174,0.52626616,0.00860849,3.12E-05,71302.09944,63000,0.50642737,0.17113344,0.19306932,0.23311368,0.25208104,0.15060242,0.053004973,0.014058281,0.002424177,9.64E-05
West Hills Community College District,9,Two-year (public and private not-for-profit),2,4,CA,6031,Kings,0.54146039,0.46796688,0.026258452,4.07E-05,60311.66406,46100,0.436388244,0.22535126,0.26969048,0.20643218,0.19995636,0.098569788,0.030081457,0.009607403,0.001980617,0.000159727
West Liberty University,5,Selective public,1,3,WV,54069,Ohio,0.53969437,0.61729866,0.012908548,3.38E-05,80635.58172,72200,0.56729949,0.087068163,0.13987631,0.27216175,0.34196717,0.15892667,0.05854173,0.017008938,0.003529698,8.34E-05
West Shore Community College,9,Two-year (public and private not-for-profit),2,2,MI,26105,Mason,0.50271738,0.51044184,0.019577645,2.44E-05,68259.17708,58900,0.475775063,0.18644136,0.19522448,0.28181362,0.21697006,0.11955052,0.036440063,0.00912453,0.001181891,0.000307091
