Institution,Control,State,Category
Central Michigan University,Public,MI,<a href="https://www.cmich.edu/news/article/pages/CMU_plans_return_for_fall.aspx" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Central New Mexico Community College,Public,NM,<a href="https://www.cnm.edu/Plone/covid-19/covid-19-information-hub" target="_blank" rel="nofollow noopener noreferrer">Planning for online</a>
Central State University,Public,OH,<a href="https://www.centralstate.edu/PR/uploads/pdf/051820-Reopening-Communication.pdf" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Centre College,Private,KY,<a href="https://www.centre.edu/centre-college-announces-plans-for-fall-2020/" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Chaffey College,Public,CA,<a href="https://www.chaffey.edu/coronavirus/docs/covid19-may-8.pdf" target="_blank" rel="nofollow noopener noreferrer">Planning for online</a>
Chaminade University,Private,HI,<a href="https://chaminade.edu/coronavirus/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Chapman University,Private,CA,<a href="ttps://news.chapman.edu/2020/04/24/a-message-from-the-office-of-the-president/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Charleston Southern University,Private,SC,<a href="https://www.charlestonsouthern.edu/csu-plans-to-reopen-for-in-person-classes-this-fall/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Chatham University,Private,PA,<a href="https://www.chatham.edu/student-experience/health-wellness/coronavirus-updates.html" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Chowan University,Private,NC,<a href="https://chowan.edu/news/chowan-university-preparing-be-open-fall-2020" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Christian Brothers University,Private,TN,<a href="https://www.cbu.edu/announcement-fall2020" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Christopher Newport University,Public,VA,<a href="http://cnu.edu/news/2020/04/22-cnu_tuitionfreeze/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Citrus College,Public,CA,<a href="https://www.citruscollege.edu/covid19/Documents/memos/05.22.2020s.pdf" target="_blank" rel="nofollow noopener noreferrer">Planning for online</a>
City College of San Francisco,Public,CA,<a href="https://www.ccsf.edu/en/community.html" target="_blank" rel="nofollow noopener noreferrer">Planning for online</a>
Claremont Colleges,Private,CA,<a href="https://tsl.news/claremont-colleges-committed-to-students-returning-in-fall-but-prep-for-other-scenarios/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Clarion University of Pennsylvania,Public,PA,<a href="https://www.clarion.edu/student-life/health-fitness-and-wellness/health-care-services/trending-health-topics.html" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Clark University,Private,MA,<a href="https://clarknow.clarku.edu/2020/04/20/presidents-update-to-undergraduate-students-and-families-fall-semester/" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
Clarke University,Private,IA,<a href="https://www.clarke.edu/news/cu-coronavirus-2019-ncov-updates/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Clemson University,Public,SC,<a href="https://www.greenvilleonline.com/story/news/2020/04/23/coronavirus-sc-impact-clemson-has-laser-focus-full-reopening-fall-semester/3006062001/" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
Cleveland Institute of Art,Private,OH,<a href="https://www.cia.edu/news/press-releases/2020/05/a-return-to-studios-and-residence-halls-for-cia" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Cleveland State University,Public,OH,<a href="https://www.cleveland.com/opinion/2020/05/preparing-for-a-post-coronavirus-cleveland-state-university-harlan-sands.html" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
