Institution,Control,State,Category
St. John Fisher College,Private,NY,<a href="https://www.wxxinews.org/post/rochester-area-colleges-begin-planning-fall-reopening?fbclid=IwAR3avK0DvFMs9nSax-gIGeCeGEA14H5lEgJVYCBxJPuBd30lqJCSo8WGVTE" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
St. John's University,Private,NY,<a href="https://www.stjohns.edu/life-st-johns/health-and-wellness/student-health-services/coronavirus-disease-2019-covid-19" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
St. Louis University,Private,MO,<a href="https://www.slu.edu/health-advisory/messages/update-may-26-early-start.php" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
St. Mary’s College of California,Private,CA,<a href="https://www.stmarys-ca.edu/public-safety-transportation/message-to-faculty-staff-students-about-fall-2020" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
St. Michael's College,Private,VT,<a href="https://www.smcvt.edu/student-life/health-and-safety/bergeron-wellness-center/health-alert-coronavirus-covid-19/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
St. Olaf College,Private,MN,<a href="https://www.stolaf.edu/multimedia/play/?p=907" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
St. Thomas University,Private,FL,<a href="https://www.stu.edu/news/message-from-president-david-a-armstrong-j-d-stu-to-return-to-our-traditional-on-campus-education-for-the-fall-2020-semester/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
St. Vincent College,Private,PA,<a href="https://www.stvincent.edu/community-events/newsroom/2020/05/15/planning-for-fall-2020" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Stanford University,Private,CA,<a href="https://www.stanforddaily.com/2020/06/03/stanford-plans-to-house-half-of-undergrads-on-campus-per-quarter-next-school-year/" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Stark State College,Public,OH,<a href="https://www.starkstate.edu/about/security/coronavirus/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Stephen F. Austin State University,Public,TX,<a href="http://www.sfasu.edu/life-at-sfa/health-safety/health-clinic/coronavirus/messages/20200423-campus-letter" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
Stetson University,Private,FL,<a href="https://www.stetson.edu/other/covid-19/index.php" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Stevens Institute of Technology,Private,NJ,<a href="https://www.stevens.edu/directory/student-health-services/health-advisory-update/coronavirus-2019-covid-19-information/advisories-updates/april-2020#042920a" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
Stockton University,Public,NJ,<a href="https://stockton.edu/emergency-management/coronavirus.html" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
Stony Brook University,Public,NY,<a href="https://www.stonybrook.edu/commcms/coronavirus/" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
Suffolk University,Private,MA,<a href="https://www.suffolk.edu/student-life/health-wellness/coronavirus-health-advisory#collapse-Student-Preparations-for-the-Fall-Advisory-May-7-2020" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
Susquehanna University,Private,PA,<a href="https://www.susqu.edu/emergency/coronavirus-update/may-18-update" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Swarthmore College,Private,PA,<a href="https://www.swarthmore.edu/coronavirus-disease-2019-covid-19-information/planning-academic-continuity" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
Sweet Briar College,Private,VA,<a href="https://sbc.edu/campus-safety/covid-19/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Syracuse University,Private,NY,<a href="https://news.syr.edu/blog/2020/06/08/coronavirus-update-6-8-20-health-and-safety-update/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Taylor University,Private,IN,<a href="https://www.facebook.com/watch/live/?v=472602113490213&amp;ref=watch_permalink" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Temple University,Public,PA,<a href="https://news.temple.edu/announcements/2020-06-02/update-plans-fall" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Tennessee State University,Public,TN,<a href="https://tnstatenewsroom.com/archives/26255" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Tennessee Technological University,Public,TN,<a href="https://www.youtube.com/watch?v=1hdl7vXwz9A&amp;feature=youtu.be" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Texas A&M University system — all campuses,Public,TX,<a href="https://www.tamus.edu/pdf/Reopening-Plan-REVISED-FINAL.pdf" target="_blank" rel="nofollow noopener noreferrer">Link</a>
Texas A&M University system — Central Texas,Public,TX,Planning for in-person
Texas A&M University system — Commerce,Public,TX,Planning for in-person
Texas A&M University system — Corpus Christi,Public,TX,Planning for in-person
Texas A&M University system — International University,Public,TX,Planning for in-person
Texas A&M University system — Kingsville,Public,TX,Planning for in-person
Texas A&M University system — Prairie View A&M University ,Public,TX,Planning for in-person
Texas A&M University system — San Antonio,Public,TX,Planning for in-person
Texas A&M University system — Tarleton State University,Public,TX,Planning for in-person
Texas A&M University system — Texarkana,Public,TX,Planning for in-person
Texas A&M University system — Texas A&M University ,Public,TX,Planning for in-person
Texas A&M University system — West Texas A & M University ,Public,TX,Planning for in-person
Texas Christian University,Private,TX,<a href="https://www.tcu.edu/coronavirus/index.php#campus-statement-1" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Texas State University system,Public,TX,<a href="https://www.tsus.edu/newsroom/news-releases/release-050120-a.html" target="_blank" rel="nofollow noopener noreferrer">Link</a>
Texas State University system — Lamar Institute of Technology,Public,TX,Planning for in-person
Texas State University system — Lamar State College Orange,Public,TX,Planning for in-person
Texas State University system — Lamar State College Port Arthur,Public,TX,Planning for in-person
Texas State University system — Lamar University,Public,TX,Planning for in-person
Texas State University system — Sam Houston State University,Public,TX,Planning for in-person
Texas State University system — Sul Ross State University,Public,TX,Planning for in-person
Texas State University system — Texas State University,Public,TX,Planning for in-person
Texas Tech University,Public,TX,<a href="https://www.depts.ttu.edu/communications/emergency/coronavirus/update-4-29-20.php" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Texas Wesleyan University,Private,TX,<a href="https://txwes.edu/coronavirus/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Texas Woman's University,Public,TX,<a href="https://twu.edu/news-events/news/twu-plans-to-resume-in-person-classes-in-fall/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
The Baptist College of Florida,Private,FL,<a href="http://www.baptistcollege.edu/news_events/press/2020/Reopen.asp" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
The New School,Private,NY,<a href="https://www.newschool.edu/" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
Thiel College,Private,PA,<a href="https://www.thiel.edu/newsroom/press-releases/detail/thiel-college-makes-plans-to-be-open-and-hosting-in-person-classes-on-campu" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Thomas Jefferson University,Private,PA,<a href="https://www.jefferson.edu/coronavirus.html#updates" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Transylvania University,Private,KY,<a href="https://blog.transy.edu/2020/04/message-from-interim-president-williams-to-the-transylvania-community-april-24-2020/" target="_blank" rel="nofollow noopener noreferrer">Waiting to decide</a>
Trevecca Nazarene University,Private,TN,<a href="https://www.trevecca.edu/offices-services/trevecca-to-welcome-students-back-to-campus-for-the-fall-2020-semester" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Trine University,Private,IN,<a href="https://www.trine.edu/news/2020/open-fall.aspx" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Trinity College,Private,IL,<a href="https://www.trnty.edu/kdykstra-051120/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Trinity University,Private,TX,<a href="https://sites.google.com/trinity.edu/trinityuniversitycovid-19/community-messages/fall-semester-plans-5112020?authuser=0" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Trinity Washington University,Private,DC,<a href="https://discover.trinitydc.edu/news/trinity-reopening-plan/" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
Troy University,Public,AL,<a href="https://www.troy.edu/coronavirus/" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Tufts University,Private,MA,<a href="https://coronavirus.tufts.edu/community-messages/04-24-20-academic-continuity-and-planning-for-fall-2020/" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
Tulane University,Private,LA,<a href="https://president.tulane.edu/view-from-gibson/finals-and-plans-fall-heroes-helpers" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Tulsa Community College,Public,OK,<a href="https://www.tulsacc.edu/about-us/news-and-events/news/tulsa-community-college-releases-plan-fall-2020-classes" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Union College,Private,NY,<a href="https://www.youtube.com/watch?v=YiikVDrbPpU&amp;feature=youtu.be&amp;utm_source=PMT+Updates&amp;utm_campaign=6cb78e44fa-EMAIL_CAMPAIGN_2020_05_08_05_07_COPY_02&amp;utm_medium=email&amp;utm_term=0_8bc039f210-6cb78e44fa-491544770" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Union University,Private,TN,<a href="https://www.uu.edu/studentlife/health-services/covid-19.cfm" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
Universitty of Texas at El Paso,Public,TX,<a href="https://www.utep.edu/ehs/COVID-19/coronavirus-update.html" target="_blank" rel="nofollow noopener noreferrer">Considering a range of scenarios</a>
University of Akron,Public,OH,<a href="https://www.uakron.edu/president/news-and-messages/miller-05-22-20" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Alabama — all system campuses,Public,AL,<a href="https://www.al.com/coronavirus/2020/06/document-details-university-of-alabama-system-plan-to-reopen-campuses-amid-pandemic.html" target="_blank" rel="nofollow noopener noreferrer">Link</a>
University of Alabama at Birmingham,Public,AL,Planning for in-person
University of Alabama at Huntsville,Public,AL,Planning for in-person
University of Alabama at Tuscaloosa,Public,AL,Planning for in-person
"University of Alaska, Anchorage",Public,AK,<a href="https://www.uaa.alaska.edu/news/archive/2020/04/uaa-fall-2020-plans.cshtml" target="_blank" rel="nofollow noopener noreferrer">Proposing a hybrid model</a>
University of Arizona,Public,AZ,<a href="https://uanews.arizona.edu/story/president-robbins-uarizona-plans-resume-inperson-classes-fall" target="_blank" rel="nofollow noopener noreferrer">Planning for in-person</a>
University of Arkansas — all system campuses,Public,AR,<a href="https://www.arkansasonline.com/news/2020/may/05/ua-trustees-ok-campus-classes-for-fall-/" target="_blank" rel="nofollow noopener noreferrer">Link</a>
University of Arkansas at Fayetteville,Public,AR,Planning for in-person
